Unique_Query_ID,Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Method,Estimate,exact_result,Time,Acceptance_Rate
M0_PN_V1_V0,0,2,6,10,2,6000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,6000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5689921846991759]","[0.1477152150064806, 0.253929378831302]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,7000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,7000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,7000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,7000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.43961860474350023, 0.5774392102919209]","[0.1477152150064806, 0.253929378831302]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,8000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",13.293428421020508,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,8000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",13.293428421020508,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,8000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1757551521500469, 0.297775413175595]","[0.0692730168265684, 0.2171403189378801]",13.293428421020508,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,8000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.43961860474350023, 0.5774392102919209]","[0.1477152150064806, 0.253929378831302]",13.293428421020508,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,9000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",14.843905687332152,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,9000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",14.843905687332152,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,9000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1757551521500469, 0.297775413175595]","[0.0692730168265684, 0.2171403189378801]",14.843905687332152,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,9000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.43961860474350023, 0.5774392102919209]","[0.1477152150064806, 0.253929378831302]",14.843905687332152,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,10000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",16.43122148513794,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,10000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",16.43122148513794,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,10000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1757551521500469, 0.297775413175595]","[0.0692730168265684, 0.2171403189378801]",16.43122148513794,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,10000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.43961860474350023, 0.5774392102919209]","[0.1477152150064806, 0.253929378831302]",16.43122148513794,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,8,10,2,1000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.4259844119805282, 0.6043194987282674]","[0.3408877774546624, 1.0]",1.7966537475585938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,8,10,2,1000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5378878760496972, 0.6508867530696193]","[0.3884680984577254, 0.8019097709840313]",1.7966537475585938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,8,10,2,1000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.2899212973748276, 0.43706562234334667]","[0.1076331415104109, 0.3157436218866075]",1.7966537475585938,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
