Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Gibbs_Sampling,Time_gibbs,Metropolis_Hastings,Time_mh,Exact_Probability,Metropolis_Hastings_AlwaysTrue,exact_result,Time_Metropolis_Hastings_AlwaysTrue,Acceptance_Rate_Metropolis_Hastings_AlwaysTrue,Metropolis_Hastings_Exclude_Outliers,Time_Metropolis_Hastings_Exclude_Outliers,Acceptance_Rate_Metropolis_Hastings_Exclude_Outliers,Metropolis_Hastings_Parallel_Tempering,Time_Metropolis_Hastings_Parallel_Tempering,Acceptance_Rate_Metropolis_Hastings_Parallel_Tempering,Metropolis_Hastings_Swandsen_Wang,Time_Metropolis_Hastings_Swandsen_Wang,Acceptance_Rate_Metropolis_Hastings_Swandsen_Wang,Metropolis_Hastings_Zanella,Time_Metropolis_Hastings_Zanella,Acceptance_Rate_Metropolis_Hastings_Zanella
0,2,10,10,2,4000,V2,V0,PS,"[0.3581081849076461, 0.6905920312982708]",44.976661920547485,"[0.33722693469369497, 0.694106585725394]",7.448679685592651,"[0.319276664128295, 0.7405762080357261]","[0.40398971518731847, 0.5624918158394026]","[0.319276664128295, 0.7405762080357261]",7.247988700866699,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.34063764597019536, 0.7146130203701802]",7.367638349533081,"{'V3': 0.3243065, 'V4': 1.0, 'V5': 1.0}","[0.26642071508942405, 0.7249402171348142]",21.42982125282288,,"[0.468864510338324, 0.6238873148290968]",6.421019554138184,,"[0.30864960053183854, 0.7313950729477267]",17.122577905654907,
0,2,10,10,2,4000,V1,V0,PN,"[0.65487805555886, 0.8490313352371212]",44.976661920547485,"[0.6592568300956008, 0.8198320075795752]",7.448679685592651,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6543128674144524]","[0.6506208706901839, 0.8883587875430508]",7.247988700866699,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.6579200234001031, 0.8198320075795752]",7.367638349533081,"{'V3': 0.3243065, 'V4': 1.0, 'V5': 1.0}","[0.6136481841251248, 0.8611043863293079]",21.42982125282288,,"[0.43487221482442384, 0.594875897371191]",6.421019554138184,,"[0.6354822747185189, 0.8356771064217053]",17.122577905654907,
0,2,10,10,2,4000,V2,V0,PN,"[0.24740290868388973, 0.5144154294729593]",44.976661920547485,"[0.2341411599098324, 0.5098665299037011]",7.448679685592651,"[0.2282307110005323, 0.5293911315803326]","[0.4056453582666414, 0.5480859921498432]","[0.2282307110005323, 0.5293911315803326]",7.247988700866699,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.23777171649008408, 0.5322375712026353]",7.367638349533081,"{'V3': 0.3243065, 'V4': 1.0, 'V5': 1.0}","[0.1700896050040954, 0.5755587555705373]",21.42982125282288,,"[0.39572647299346386, 0.556077088208776]",6.421019554138184,,"[0.21001586238343978, 0.5557329317606997]",17.122577905654907,
0,2,10,10,2,5000,V1,V0,PS,"[0.7289184242929653, 0.9342535856000754]",56.300759077072144,"[0.7272326997722555, 0.9059451003430162]",9.142343521118164,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6633630264977126]","[0.7210247097808495, 0.9844883031342316]",9.277708530426024,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.726488902929901, 0.9019902316954441]",9.491460800170898,"{'V3': 0.3275812, 'V4': 1.0, 'V5': 1.0}","[0.7132022928111484, 0.9314734918776894]",27.082494974136356,,"[0.5165503665984371, 0.6296405694212832]",8.247193336486816,,"[0.6916954075237272, 0.9225400572470951]",21.679850339889526,
0,2,10,10,2,5000,V2,V0,PS,"[0.3514020987179122, 0.6905920312982708]",56.300759077072144,"[0.3392438833166492, 0.69233183487668]",9.142343521118164,"[0.319276664128295, 0.7405762080357261]","[0.40398971518731847, 0.566503286944366]","[0.319276664128295, 0.7405762080357261]",9.277708530426024,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.3337988704262588, 0.7115673019941904]",9.491460800170898,"{'V3': 0.3275812, 'V4': 1.0, 'V5': 1.0}","[0.25728528521235067, 0.7249402171348142]",27.082494974136356,,"[0.468864510338324, 0.6238873148290968]",8.247193336486816,,"[0.30864960053183854, 0.7585742726317217]",21.679850339889526,
0,2,10,10,2,5000,V1,V0,PN,"[0.6583935622326038, 0.8490313352371212]",56.300759077072144,"[0.6561191216297132, 0.8214429737508736]",9.142343521118164,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6543128674144524]","[0.6506208706901839, 0.8883587875430508]",9.277708530426024,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.654591549234543, 0.8209415978122742]",9.491460800170898,"{'V3': 0.3275812, 'V4': 1.0, 'V5': 1.0}","[0.6136481841251248, 0.8611043863293079]",27.082494974136356,,"[0.43487221482442384, 0.594875897371191]",8.247193336486816,,"[0.6354822747185189, 0.8593747828660891]",21.679850339889526,
0,2,10,10,2,5000,V2,V0,PN,"[0.24387943470112738, 0.5144154294729593]",56.300759077072144,"[0.237085590583931, 0.5104185481434237]",9.142343521118164,"[0.2282307110005323, 0.5293911315803326]","[0.4056453582666414, 0.5480859921498432]","[0.2282307110005323, 0.5293911315803326]",9.277708530426024,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.2341411599098324, 0.5263558866362863]",9.491460800170898,"{'V3': 0.3275812, 'V4': 1.0, 'V5': 1.0}","[0.16343616670941385, 0.5755587555705373]",27.082494974136356,,"[0.39572647299346386, 0.556077088208776]",8.247193336486816,,"[0.21001586238343978, 0.5557329317606997]",21.679850339889526,
0,2,10,10,2,6000,V1,V0,PS,"[0.7283903159771775, 0.9286830396376035]",67.89018774032593,"[0.7204513485360463, 0.9129440366858617]",10.7973735332489,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6723073456216049]","[0.7210247097808495, 0.9844883031342316]",11.005857706069946,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.722272214968043, 0.9126979905325685]",11.23801565170288,"{'V3': 0.32796216666666667, 'V4': 1.0, 'V5': 1.0}","[0.7132022928111484, 0.9314734918776894]",32.33989238739014,,"[0.5165503665984371, 0.6296405694212832]",9.825118064880373,,"[0.6916954075237272, 0.9225400572470951]",25.920088052749637,
0,2,10,10,2,6000,V2,V0,PS,"[0.3596745326883476, 0.6936881856131424]",67.89018774032593,"[0.34614219418750236, 0.6798761074389457]",10.7973735332489,"[0.319276664128295, 0.7405762080357261]","[0.40398971518731847, 0.566503286944366]","[0.319276664128295, 0.7405762080357261]",11.005857706069946,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.3392438833166492, 0.6988213163979271]",11.23801565170288,"{'V3': 0.32796216666666667, 'V4': 1.0, 'V5': 1.0}","[0.25728528521235067, 0.730741502041736]",32.33989238739014,,"[0.468864510338324, 0.6238873148290968]",9.825118064880373,,"[0.30864960053183854, 0.7585742726317217]",25.920088052749637,
0,2,10,10,2,6000,V1,V0,PN,"[0.6522297699245556, 0.8490313352371212]",67.89018774032593,"[0.654591549234543, 0.8286564202869625]",10.7973735332489,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6543128674144524]","[0.6506208706901839, 0.8883587875430508]",11.005857706069946,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.654591549234543, 0.8260138648621393]",11.23801565170288,"{'V3': 0.32796216666666667, 'V4': 1.0, 'V5': 1.0}","[0.6136481841251248, 0.8611043863293079]",32.33989238739014,,"[0.4234978615233569, 0.594875897371191]",9.825118064880373,,"[0.6354822747185189, 0.8593747828660891]",25.920088052749637,
0,2,10,10,2,6000,V2,V0,PN,"[0.24815281168172731, 0.5185690449853854]",67.89018774032593,"[0.23915897599669533, 0.5055464998218883]",10.7973735332489,"[0.2282307110005323, 0.5293911315803326]","[0.40519839036169525, 0.5484554686747951]","[0.2282307110005323, 0.5293911315803326]",11.005857706069946,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.2341411599098324, 0.5186176237463351]",11.23801565170288,"{'V3': 0.32796216666666667, 'V4': 1.0, 'V5': 1.0}","[0.16343616670941385, 0.5755587555705373]",32.33989238739014,,"[0.3941394118099085, 0.556077088208776]",9.825118064880373,,"[0.21001586238343978, 0.5557329317606997]",25.920088052749637,
0,2,10,10,2,7000,V1,V0,PS,"[0.7263470280936859, 0.9286830396376035]",79.17986345291138,"[0.722272214968043, 0.9234269336694799]",12.45592212677002,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6723073456216049]","[0.7210247097808495, 0.9844883031342316]",12.734408617019652,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.7243215653899457, 0.9173722770915821]",12.978527307510376,"{'V3': 0.330445, 'V4': 1.0, 'V5': 1.0}","[0.7113100797140278, 0.9314734918776894]",37.8924343585968,,"[0.5165503665984371, 0.6361486427455131]",11.435285806655884,,"[0.6915173323198617, 0.9306495278832179]",30.305257558822632,
0,2,10,10,2,7000,V2,V0,PS,"[0.3647758994387576, 0.6861571300436684]",79.17986345291138,"[0.35045799258957416, 0.6785545294323383]",12.45592212677002,"[0.319276664128295, 0.7405762080357261]","[0.3961870144217243, 0.566503286944366]","[0.319276664128295, 0.7405762080357261]",12.734408617019652,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.34500267860678574, 0.69233183487668]",12.978527307510376,"{'V3': 0.330445, 'V4': 1.0, 'V5': 1.0}","[0.25728528521235067, 0.730741502041736]",37.8924343585968,,"[0.468864510338324, 0.6238873148290968]",11.435285806655884,,"[0.30864960053183854, 0.7585742726317217]",30.305257558822632,
0,2,10,10,2,7000,V1,V0,PN,"[0.6536571257888019, 0.8447727816155242]",79.17986345291138,"[0.6550384776799039, 0.8340367501678387]",12.45592212677002,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6543128674144524]","[0.6506208706901839, 0.8883587875430508]",12.734408617019652,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.654591549234543, 0.8294782913408617]",12.978527307510376,"{'V3': 0.330445, 'V4': 1.0, 'V5': 1.0}","[0.6136481841251248, 0.8611043863293079]",37.8924343585968,,"[0.4234978615233569, 0.594875897371191]",11.435285806655884,,"[0.6213782086620516, 0.8593747828660891]",30.305257558822632,
0,2,10,10,2,7000,V2,V0,PN,"[0.24815281168172731, 0.5144154294729593]",79.17986345291138,"[0.24251634460738655, 0.5013041154594305]",12.45592212677002,"[0.2282307110005323, 0.5293911315803326]","[0.40519839036169525, 0.5484554686747951]","[0.2282307110005323, 0.5293911315803326]",12.734408617019652,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.23605723809257326, 0.5159101067491265]",12.978527307510376,"{'V3': 0.330445, 'V4': 1.0, 'V5': 1.0}","[0.16343616670941385, 0.5755587555705373]",37.8924343585968,,"[0.3941394118099085, 0.556077088208776]",11.435285806655884,,"[0.21001586238343978, 0.5557329317606997]",30.305257558822632,
0,2,10,10,2,8000,V1,V0,PS,"[0.7270429979603195, 0.9383627131982757]",90.49693942070007,"[0.7253702916230622, 0.9317398667171412]",14.137351989746094,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6723073456216049]","[0.7210247097808495, 0.9844883031342316]",14.514944791793823,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.7243215653899457, 0.9234269336694799]",14.811424970626833,"{'V3': 0.335228125, 'V4': 1.0, 'V5': 1.0}","[0.7113100797140278, 0.9314734918776894]",43.33684730529785,,"[0.5127993213409963, 0.6393444078528541]",12.971927881240845,,"[0.6915173323198617, 0.9306495278832179]",34.57414770126343,
0,2,10,10,2,8000,V2,V0,PS,"[0.355873699669007, 0.6953021165940901]",90.49693942070007,"[0.35045799258957416, 0.6854924197095059]",14.137351989746094,"[0.319276664128295, 0.7405762080357261]","[0.3961870144217243, 0.566503286944366]","[0.319276664128295, 0.7405762080357261]",14.514944791793823,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.34063764597019536, 0.6988213163979271]",14.811424970626833,"{'V3': 0.335228125, 'V4': 1.0, 'V5': 1.0}","[0.25728528521235067, 0.7595513526397878]",43.33684730529785,,"[0.468864510338324, 0.6238873148290968]",12.971927881240845,,"[0.30864960053183854, 0.7585742726317217]",34.57414770126343,
0,2,10,10,2,8000,V1,V0,PN,"[0.6554475305849508, 0.8521545194296127]",90.49693942070007,"[0.6561191216297132, 0.8427120365834201]",14.137351989746094,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6543128674144524]","[0.6506208706901839, 0.8883587875430508]",14.514944791793823,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.654591549234543, 0.8388615152279422]",14.811424970626833,"{'V3': 0.335228125, 'V4': 1.0, 'V5': 1.0}","[0.6136481841251248, 0.8611043863293079]",43.33684730529785,,"[0.4234978615233569, 0.594875897371191]",12.971927881240845,,"[0.6213782086620516, 0.8593747828660891]",34.57414770126343,
